2026-04-22 14:59:22 | ERROR    | MonitorID.M5 | Dimension.TIMELINESS | ads_fin_index_compn_stock_interface_ds PLATE_STOCKS 数据未及时到达 | send_date=2098-06-15
2026-04-22 14:59:22 | ERROR    | MonitorID.M5 | Dimension.TIMELINESS | dqm_test_ads_fin_index PLATE_STOCKS 数据未及时到达 | send_date=2026-04-22
2026-04-22 14:59:22 | ERROR    | MonitorID.M5 | Dimension.TIMELINESS | dqm_test_ads_fin_index PLATE_STOCKS 数据未及时到达 | send_date=2026-04-22
2026-04-22 14:59:22 | ERROR    | MonitorID.M5 | Dimension.TIMELINESS | dqm_test_ads_fin_index PLATE_STOCKS 数据未及时到达 | send_date=2026-04-22
2026-04-22 14:59:22 | ERROR    | MonitorID.M5 | Dimension.TIMELINESS | dqm_test_ads_fin_index PLATE_STOCKS 数据未及时到达 | send_date=2026-04-22
2026-04-22 14:59:22 | ERROR    | MonitorID.M5 | Dimension.TIMELINESS | ads_fin_index_compn_stock_interface_ds PLATE_STOCKS 数据未及时到达 | send_date=2099-12-31
2026-04-22 14:59:22 | ERROR    | MonitorID.M5 | Dimension.TIMELINESS | dqm_test_ads_fin_index PLATE_STOCKS 数据未及时到达 | send_date=2026-04-22
2026-04-22 14:59:22 | ERROR    | MonitorID.M5 | Dimension.TIMELINESS | dqm_test_ads_fin_index PLATE_STOCKS 数据未及时到达 | send_date=2026-04-22
2026-04-22 14:59:37 | ERROR    | MonitorID.M1 | Dimension.COMPLETENESS | gmdb_plate_info 核心代码不一致 | online=6, snapshot=2, missing=[], extra=["0424", "0439", "0443", "0447"]
2026-04-22 14:59:37 | ERROR    | MonitorID.M1 | Dimension.COMPLETENESS | gmdb_plate_info 核心代码不一致 | online=6, snapshot=1, missing=[], extra=["0424", "0438", "0439", "0443", "0447"]
2026-04-22 14:59:37 | WARNING  | MonitorID.M1 | Dimension.COMPLETENESS | Pulsar 采集失败，跳过完整性比对 | error=Pulsar connection timeout
2026-04-22 14:59:37 | ERROR    | MonitorID.M2 | Dimension.TIMELINESS | gmdb_plate_info 无当天数据 | send_date=2099-12-31
2026-04-22 14:59:37 | ERROR    | MonitorID.M2 | Dimension.TIMELINESS | gmdb_plate_info 无当天数据 | send_date=2098-06-15
2026-04-22 14:59:37 | ERROR    | MonitorID.M2 | Dimension.TIMELINESS | dqm_test_gmdb_plate_info 无当天数据 | send_date=2026-04-22
2026-04-22 14:59:37 | ERROR    | MonitorID.M2 | Dimension.TIMELINESS | dqm_test_gmdb_plate_info 无当天数据 | send_date=2026-04-22
2026-04-22 14:59:37 | ERROR    | MonitorID.M2 | Dimension.TIMELINESS | dqm_test_gmdb_plate_info 无当天数据 | send_date=2026-04-22
2026-04-22 14:59:37 | ERROR    | MonitorID.M2 | Dimension.TIMELINESS | dqm_test_gmdb_plate_info 无当天数据 | send_date=2026-04-22
